"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.6267301.6267600",2.61311470802696,0,0,1.47438652743573,2.76634665234122
"CM002236.1.6267601.6267900",2.73195570524551,0,0,0,2.57736606787798
"CM002236.1.6278401.6278700",0,0,0,0,0
"CM002236.1.6278701.6279000",0,0,0,0,0
"CM002236.1.6279301.6279600",0,0,0,0,0
"CM002236.1.6280801.6281100",0,1.78426852038849,0,0,0
"CM002236.1.6370201.6370500",0,0,0,1.97240367724112,2.35359101454108
"CM002236.1.6373801.6374100",0,0,0,0,2.96030381840825
"CM002236.1.6374101.6374400",0,1.80207785599338,0,0,3.13190574340286
"CM002236.1.6374401.6374700",0,2.02483547847796,0,0,3.01047855142148
"CM002236.1.6374701.6375000",0,2.04922311419864,0,0,2.48267880400896
"CM002236.1.6379201.6379500",0,2.15138853605555,0,0,0
"CM002236.1.6460801.6461100",0,2.78732295435523,0,0,0
"CM002236.1.6461401.6461700",0,2.29961249194574,0,0,0
"CM002236.1.6461701.6462000",0,2.44036338249879,0,0,0
"CM002236.1.6462001.6462300",0,2.83307318694717,0,0,0
"CM002236.1.6462301.6462600",1.59984334263482,2.55831059358231,0,0,0
"CM002236.1.6462601.6462900",0,2.32522081178737,0,0,0
"CM002236.1.6462901.6463200",0,0,0,0,0
"CM002236.1.6464101.6464400",0,2.47532376471023,0,0,0
