"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002238.1.5258178.5258978",3.49151006045659,3.96639326320749,3.80410934199535,-0.993804831225704,0,1.75682295770498
"CM002238.1.5260075.5260875",3.77126904451877,4.28749070974921,4.11466540866802,0,0,2.3867444106909
"CM002238.1.5261267.5262067",4.90977746176976,5.08601316253858,4.94702950048786,0,0,3.06819619929517
"CM002238.1.5265128.5265928",3.52747736614982,2.70054668743303,2.21059850400306,-1.15343715365147,0,0
"CM002238.1.5269319.5270119",4.64773081332972,4.43345534888129,3.67366938436315,-1.4745019323628,0,1.51348452006314
"CM002238.1.5270639.5271439",3.95810218815095,3.96356396266789,2.37817872857134,-1.95241459327106,0,1.42271949738745
"CM002238.1.5271684.5272484",4.58953865948676,4.89165041474185,3.90968196041641,-0.909794427122654,0,2.88944965777441
"CM002239.1.1166.1966",5.31468006283531,5.94971763260209,5.59363677869154,4.17512885136293,0,3.49991069511205
"CM002239.1.5583.6383",4.9701562666517,5.15933182207256,4.85377331199766,2.05509255799373,0,2.89545815868788
"CM002239.1.5945.6745",5.12936582414156,5.2575696112721,5.03810815406101,2.31541548408665,0,3.00058441233353
"CM002239.1.19245.20045",1.9116869361007,2.13230618240701,1.93174576789563,-1.03662471588589,0,0
"CM002239.1.10574.11374",4.17109723071767,4.00776761060677,3.54920519774186,0,0,2.57858892457523
"CM002239.1.21454.22254",3.69312575810064,3.50068013578913,3.38528785572169,0,0,2.05790021665537
"CM002239.1.24129.24929",4.57585192255284,4.64540392670652,4.27964835300387,0,0,2.30749943169922
"CM002239.1.28677.29477",2.90019797944292,3.43165216982338,3.23115594292781,0,0,2.23008649707782
"CM002239.1.31367.32167",0,1.23477597029362,0,-1.29194418135435,0,0
"CM002239.1.55078.55878",2.80182584319131,2.67675302418333,2.93757766655429,0,0,2.97204623437378
"CM002239.1.67861.68661",3.46906528606998,3.47999848281747,3.25093336922624,0,0,3.13109649129647
"CM002239.1.70706.71506",2.56989166372345,2.44900107112325,1.82987887426818,0,0,1.95313372328384
"CM002239.1.70504.71304",2.4439615013036,2.40138262652311,1.63276745340526,0,0,1.70173179214099
